domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
conservativepapers.com,0,0,1579,0,0,0,0,0,0,0,0
conservativerefocus.com,0,0,0,3150,0,0,0,0,0,0,0
conservativereview.com,0,0,0,0,0,0,0,0,0,156,0
conservativespirit.com,0,0,2,0,0,0,0,0,0,0,0
conservativetribune.com,0,0,1520,0,0,0,0,0,0,0,0
consortiumnews.com,0,0,0,0,0,0,0,0,0,0,691
corbettreport.com,0,0,0,262,0,0,0,0,0,0,0
countdowntozerotime.com,0,0,0,2,0,0,0,0,0,0,0
countercurrents.org,0,0,0,0,0,0,0,0,0,846,0
counterinformation.wordpress.com,0,0,0,0,0,0,0,0,0,226,0
counterjihad.com,0,0,29,0,0,0,0,0,0,0,0
counterpsyops.com,0,0,0,295,0,0,0,0,0,0,0
counterpunch.org,0,0,0,0,0,0,0,0,0,639,0
cowgernation.com,0,0,89,0,0,0,0,0,0,0,0
creambmp.com,0,24,0,0,0,0,0,0,0,0,0
dailybuzzlive.com,28,0,0,0,0,0,0,0,0,0,0
dailycaller.com,0,0,0,0,0,0,0,0,0,7814,0
dailycurrant.com,0,5,0,0,0,0,0,0,0,0,0
dailyheadlines.com,38,0,0,0,0,0,0,0,0,0,0
dailyheadlines.net,16,0,0,0,0,0,0,0,0,0,0
dailykos.com,0,0,0,0,0,0,0,0,0,77640,0
dailynews10.com,1,0,0,0,0,0,0,0,0,0,0
dailypoliticsusa.com,0,0,1,0,0,0,0,0,0,0,0
dailysignal.com,0,0,885,0,0,0,0,0,0,0,0
dailysnark.com,0,13,0,0,0,0,0,0,0,0,0
dailysquib.co.uk,0,107,0,0,0,0,0,0,0,0,0
dailysurge.com,34,0,0,0,0,0,0,0,0,0,0
dailywire.com,0,0,499,0,0,0,0,0,0,0,0
dandygoat.com,0,11,0,0,0,0,0,0,0,0,0
darkmoon.me,0,0,0,0,0,0,51,0,0,0,0
darkpolitricks.com,0,0,1176,0,0,0,0,0,0,0,0
dataasylum.com,0,0,0,2,0,0,0,0,0,0,0
davidduke.com,0,0,0,0,0,0,54,0,0,0,0
davidwolfe.com,0,0,0,13,0,0,0,0,0,0,0
dcclothesline.com,0,0,0,748,0,0,0,0,0,0,0
dcgazette.com,177,0,0,0,0,0,0,0,0,0,0
de.finance.yahoo.com,0,0,0,0,0,0,0,0,0,0,206
debunkingskeptics.com,0,0,3,0,0,0,0,0,0,0,0
defenddemocracy.press,0,0,106,0,0,0,0,0,0,0,0
dennismichaellynch.com,0,0,0,0,0,0,0,0,0,471,0
der-postillon.com,0,42,0,0,0,0,0,0,0,0,0
derfmagazine.com,0,3,0,0,0,0,0,0,0,0,0
dineal.com,0,0,0,0,0,6,0,0,0,0,0
disclose.tv,0,671,0,0,0,0,0,0,0,0,0
disneyworld.disney.go.com,0,0,0,0,0,0,0,0,0,0,192
dissentmagazine.org,0,0,0,0,0,0,0,0,0,504,0
diversitychronicle.wordpress.com,0,6,0,0,0,0,0,0,0,0,0
donaldtrumpnews.co,3,0,0,0,0,0,0,0,0,0,0
downtrend.com,17,0,0,0,0,0,0,0,0,0,0
drrichswier.com,0,0,0,0,0,0,412,0,0,0,0
duhprogressive.com,0,6,0,0,0,0,0,0,0,0,0
economicnoise.com,0,0,0,0,0,0,0,0,0,246,0
ecowatch.com,0,0,0,0,0,0,0,0,0,400,0
edition.cnn.com,0,0,0,0,0,0,0,0,0,0,266
educate-yourself.org,0,0,0,544,0,0,0,0,0,0,0
