domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
thedailysheeple.com,0,0,0,6013,0,0,0,0,0,0,0
thedailywtf.com,0,109,0,0,0,0,0,0,0,0,0
theduran.com,0,0,0,0,0,0,0,0,1546,0,0
theeconomiccollapseblog.com,0,0,0,1252,0,0,0,0,0,0,0
theeventchronicle.com,0,0,0,1964,0,0,0,0,0,0,0
thefederalistpapers.org,0,0,1743,0,0,0,0,0,0,0,0
thefifthcolumnnews.com,0,0,0,0,0,0,0,0,0,1768,0
theforbiddenknowledge.com,0,0,0,4,0,0,0,0,0,0,0
thefreepatriot.org,1005,0,0,0,0,0,0,0,0,0,0
thefreethoughtproject.com,0,0,0,0,0,0,0,0,911,0,0
thegatewaypundit.com,0,0,787,0,0,0,0,0,0,0,0
thegoldwater.com,0,0,0,0,0,0,0,0,0,0,0
thehardtimes.net,0,447,0,0,0,0,0,0,0,0,0
theineptowl.com,0,76,0,0,0,0,0,0,0,0,0
theinformedamerican.net,0,0,0,0,0,0,0,0,20,0,0
theintercept.com,0,0,0,0,0,0,0,0,0,237,0
theinternetpost.net,1277,0,0,0,0,0,0,0,0,0,0
thelastgreatstand.com,9,0,0,0,0,0,0,0,0,0,0
thelibertybeacon.com,0,0,0,4392,0,0,0,0,0,0,0
themideastbeast.com,0,201,0,0,0,0,0,0,0,0,0
themindunleashed.com,0,0,0,379,0,0,0,0,0,0,0
themuslimissue.wordpress.com,0,0,0,0,0,0,1377,0,0,0,0
thenet24h.com,2085,0,0,0,0,0,0,0,0,0,0
thenewamerican.com,0,0,3059,0,0,0,0,0,0,0,0
thenewinquiry.com,0,0,0,0,0,0,0,0,0,0,0
thenewsdoctors.com,0,0,51,0,0,0,0,0,0,0,0
thenewyorkevening.com,15,0,0,0,0,0,0,0,0,0,0
theonion.com,0,1689,0,0,0,0,0,0,0,0,0
theopenscroll.blogspot.com,0,0,0,0,0,0,0,0,0,0,0
theorganicprepper.ca,0,0,0,0,0,0,0,0,0,0,0
thepeoplescube.com,0,0,0,0,0,0,0,0,0,0,0
thephaser.com,0,0,0,2809,0,0,0,0,0,0,0
thepoke.co.uk,0,12,0,0,0,0,0,0,0,0,0
thepoliticalinsider.com,0,0,0,175,0,0,0,0,0,0,0
thepostemail.com,0,0,0,0,0,0,0,0,0,0,0
therebel.media,0,0,0,0,0,0,0,0,0,0,0
therightists.com,0,3,0,0,0,0,0,0,0,0,0
therightscoop.com,410,0,0,0,0,0,0,0,0,0,0
therightstuff.biz,0,0,0,0,0,0,125,0,0,0,0
therussophile.org,0,0,0,0,0,0,0,0,0,0,0
thesaker.is,0,0,0,0,0,0,0,0,0,0,0
theshovel.com.au,0,52,0,0,0,0,0,0,0,0,0
thesleuthjournal.com,0,0,0,0,0,0,0,0,0,0,0
thespoof.com,0,623,0,0,0,0,0,0,0,0,0
thestatelyharold.com,0,1,0,0,0,0,0,0,0,0,0
thetruthaboutcancer.com,0,0,0,0,0,160,0,0,0,0,0
thetruthdivision.com,448,0,0,0,0,0,0,0,0,0,0
thevalleyreport.com,0,18,0,0,0,0,0,0,0,0,0
thewashingtonpress.com,10,0,0,0,0,0,0,0,0,0,0
thinkprogress.org,0,0,0,0,0,0,0,0,0,4663,0
thirdworldtraveler.com,0,0,0,0,0,0,0,0,0,0,0
threepercenternation.com,2906,0,0,0,0,0,0,0,0,0,0
thrivemovement.com,0,0,0,0,0,0,0,0,0,0,0
toprightnews.com,0,0,0,0,0,0,0,0,0,0,0
tribuneherald.net,0,0,0,0,0,0,0,0,0,0,0
tribunist.com,0,0,0,0,0,0,0,0,0,0,0
trueeconomics.blogspot.com,0,0,0,0,0,0,0,0,0,0,0
truepundit.com,0,0,2675,0,0,0,0,0,0,0,0
trunews.com,0,0,0,0,0,0,0,0,0,0,0
truthandaction.org,0,0,3492,0,0,0,0,0,0,0,0
truthbroadcastnetwork.com,0,0,0,5150,0,0,0,0,0,0,0
truthfeed.com,0,0,0,0,0,0,13,0,0,0,0
truthingold.com,0,0,0,0,0,0,0,0,0,0,0
truthkings.com,0,0,318,0,0,0,0,0,0,0,0
truthnetwork.com,0,0,0,0,0,0,0,0,0,0,0
truthrevolt.org,0,0,2266,0,0,0,0,0,0,0,0
twitchy.com,0,0,0,0,0,0,0,5361,0,0,0
tyronetribulations.com,0,0,0,0,0,0,0,0,0,0,0
ufoholic.com,0,0,0,9,0,0,0,0,0,0,0
uk.finance.yahoo.com,0,0,0,0,0,0,0,0,0,0,1405
uk.news.yahoo.com,0,0,0,0,0,0,0,0,0,0,158
uk.reuters.com,0,0,0,0,0,0,0,0,0,0,718
unclesamsmisguidedchildren.com,0,0,11,0,0,0,0,0,0,0,0
unconfirmedsources.com,0,24,0,0,0,0,0,0,0,0,0
undergroundhealth.com,0,0,0,0,0,0,0,0,0,0,0
unionleader.com,0,0,0,0,0,0,0,0,0,0,0
universepolitics.com,32,0,0,0,0,0,0,0,0,0,0
unz.com,0,0,4602,0,0,0,0,0,0,0,0
us.blastingnews.com,0,5464,0,0,0,0,0,0,0,0,0
usa-television.com,15,0,0,0,0,0,0,0,0,0,0
usadailytime.com,19,0,0,0,0,0,0,0,0,0,0
usadosenews.com,5,0,0,0,0,0,0,0,0,0,0
usafirstinformation.com,1,0,0,0,0,0,0,0,0,0,0
usaphase.com,9,0,0,0,0,0,0,0,0,0,0
usapoliticstoday.com,0,0,38,0,0,0,0,0,0,0,0
usapoliticszone.com,4,0,0,0,0,0,0,0,0,0,0
usasupreme.com,172,0,0,0,0,0,0,0,0,0,0
usatwentyfour.com,3,0,0,0,0,0,0,0,0,0,0
uschronicle.com,0,0,4,0,0,0,0,0,0,0,0
usdefensewatch.com,0,0,0,0,0,0,0,0,215,0,0
ushealthyadvisor.com,45,0,0,0,0,0,0,0,0,0,0
ushealthylife.com,1,0,0,0,0,0,0,0,0,0,0
usherald.com,0,0,189,0,0,0,0,0,0,0,0
usinfonews.com,5,0,0,0,0,0,0,0,0,0,0
uspoliticslive.com,11,0,0,0,0,0,0,0,0,0,0
uspoln.com,1,0,0,0,0,0,0,0,0,0,0
vdare.com,0,0,2059,0,0,0,0,0,0,0,0
veteransnewsnow.com,0,0,0,0,0,0,0,0,376,0,0
veteranstoday.com,0,0,1505,0,0,0,0,0,0,0,0
video.foxnews.com,0,0,0,0,0,0,0,0,0,0,159
vigilantcitizen.com,38,0,0,0,0,0,0,0,0,0,0
viralactions.com,8,0,0,0,0,0,0,0,0,0,0
viralliberty.com,39,0,0,0,0,0,0,0,0,0,0
wakingtimes.com,0,0,0,0,0,521,0,0,0,0,0
washingtonexaminer.com,0,0,0,0,0,0,0,0,0,3532,0
washingtonsblog.com,0,0,392,0,0,0,0,0,0,0,0
washpost.bloomberg.com,0,0,0,0,0,0,0,0,0,0,107
waterfordwhispersnews.com,0,77,0,0,0,0,0,0,0,0,0
wealthwire.com,0,0,0,0,0,0,0,0,0,0,0
wearechange.org,0,0,461,0,0,0,0,0,0,0,0
weaselzippers.us,0,0,0,0,0,0,0,0,54,0,0
weeklystandard.com,0,0,0,0,0,0,0,0,0,3166,0
weeklyworldnews.com,108,0,0,0,0,0,0,0,0,0,0
weshapelife.org,0,0,0,2,0,0,0,0,0,0,0
westernjournalism.com,0,0,450,0,0,0,0,0,0,0,0
whatdoesitmean.com,0,0,0,82,0,0,0,0,0,0,0
whatreallyhappened.com,0,0,0,168,0,0,0,0,0,0,0
whowhatwhy.org,0,0,0,67,0,0,0,0,0,0,0
whydontyoutrythis.com,0,0,0,0,0,41,0,0,0,0,0
wiki.mozilla.org,0,0,0,0,0,0,0,0,0,0,154
wikileaks.com,0,0,0,0,0,0,0,0,1030,0,0
wikileaks.org,0,0,0,0,0,0,0,0,23699,0,0
wikispooks.com,0,0,0,9520,0,0,0,0,0,0,0
winningdemocrats.com,0,0,2,0,0,0,0,0,0,0,0
wnd.com,0,0,974,0,0,0,0,0,0,0,0
world24monitor.com,0,0,0,0,0,0,0,0,0,0,0
worlddaily.info,0,0,0,0,0,0,0,0,0,0,0
worldnewsdailyreport.com,0,129,0,0,0,0,0,0,0,0,0
worldtruth.tv,0,0,0,35,0,0,0,0,0,0,0
worldwidehealthy.com,0,0,0,0,0,2,0,0,0,0,0
wundergroundmusic.com,0,11,0,0,0,0,0,0,0,0,0
www.bloomberg.com,0,0,0,0,0,0,0,0,0,0,489
www.businessinsider.com,0,0,0,0,0,0,0,0,0,0,778
www.buzzfeed.com,0,0,0,0,0,0,0,0,0,0,74
www.cbsnews.com,0,0,0,0,0,0,0,0,0,0,334
www.cbssports.com,0,0,0,0,0,0,0,0,0,0,287
www.chron.com,0,0,0,0,0,0,0,0,0,0,2137
www.cnbc.com,0,0,0,0,0,0,0,0,0,0,385
www.cnet.com,0,0,0,0,0,0,0,0,0,0,222
www.cnn.com,0,0,0,0,0,0,0,0,0,0,167
www.engadget.com,0,0,0,0,0,0,0,0,0,0,116
www.eonline.com,0,0,0,0,0,0,0,0,0,0,210
www.forbes.com,0,0,0,0,0,0,0,0,0,0,180
www.foxnews.com,0,0,0,0,0,0,0,0,0,0,77
www.huffingtonpost.com,0,0,0,0,0,0,0,0,0,0,1255
www.investing.com,0,0,0,0,0,0,0,0,0,0,210
www.latimes.com,0,0,0,0,0,0,0,0,0,0,598
www.legacy.com,0,0,0,0,0,0,0,0,0,0,555
www.marketwatch.com,0,0,0,0,0,0,0,0,0,0,399
www.msn.com,0,0,0,0,0,0,0,0,0,0,909
www.nba.com,0,0,0,0,0,0,0,0,0,0,209
www.nbcnews.com,0,0,0,0,0,0,0,0,0,0,175
www.ndtv.com,0,0,0,0,0,0,0,0,0,0,450
www.nfl.com,0,0,0,0,0,0,0,0,0,0,76
www.nhl.com,0,0,0,0,0,0,0,0,0,0,616
www.npr.org,0,0,0,0,0,0,0,0,0,0,306
www.nydailynews.com,0,0,0,0,0,0,0,0,0,0,473
www.nytimes.com,0,0,0,0,0,0,0,0,0,0,523
www.politico.com,0,0,0,0,0,0,0,0,0,0,183
www.realclearpolitics.com,0,0,0,0,0,0,0,0,0,0,93
www.reuters.com,0,0,0,0,0,0,0,0,0,0,3956
www.sfgate.com,0,0,0,0,0,0,0,0,0,0,2468
www.theatlantic.com,0,0,0,0,0,0,0,0,0,0,74
www.theguardian.com,0,0,0,0,0,0,0,0,0,0,747
www.usatoday.com,0,0,0,0,0,0,0,0,0,0,457
www.vice.com,0,0,0,0,0,0,0,0,0,0,121
www.washingtonpost.com,0,0,0,0,0,0,0,0,0,0,558
www.wikihow.com,0,0,0,0,0,0,0,0,0,0,80
www.wsj.com,0,0,0,0,0,0,0,0,0,0,618
www.yahoo.com,0,0,0,0,0,0,0,0,0,0,2629
yellowhammernews.com,0,0,0,0,0,0,0,0,0,13,0
yesimright.com,1,0,0,0,0,0,0,0,0,0,0
yournationnews.com,0,0,0,0,0,0,0,4,0,0,0
yournewswire.com,0,0,0,0,0,0,0,1230,0,0,0
zeenews.india.com,0,0,0,0,0,0,0,0,0,0,299
zerohedge.com,0,0,0,4185,0,0,0,0,0,0,0
zootfeed.com,0,0,0,22,0,0,0,0,0,0,0
